CATEGORY,NUMBER CODE,NAME,LENGTH (mm),HEIGHT (mm),THICKNESS (mm),LOAD FUNCTION,STIFFENING FUNCTION,PREFABRICATION,EXTERNAL,WATER,HEATING,VENTILATION,ELECTRICITY,FIRE REGULATION,FIRE PROTECTION,ACUSTIC REQS,FINISHING,U-WERT,VERSION,ImageURL,
WALL,WAL_21,Oberirdische Aussenwand hinterlüftet mit Installtionsebene,1000,3000,483.5,FALSE,FALSE,Facade,TRUE,FALSE,FALSE,TRUE,TRUE,GK V,FACADE,FACADE,RENDER,0.14,Developed,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
WALL,WAL_22,Oberirdische Aussenwand hinterlüftet,1000,3000,433.5,FALSE,FALSE,Facade,TRUE,FALSE,FALSE,TRUE,TRUE,GK V,FACADE,FACADE,RENDER,0,Developed,https://www.dropbox.com/scl/fi/w0vkri0d6ccr7cy02qj7o/WAL_22.png?rlkey=zbfneivwem8db4a2ksipq8enn&st=nfc0bmp7&dl=1,
WALL,WAL_23,Wohnungstrennwand Holzrahmenbau,1000,3000,72,FALSE,TRUE,3D Mod,FALSE,FALSE,FALSE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,RENDER,0,Developed,https://www.dropbox.com/scl/fi/wxzgjjvq18xmy4cl4rqg9/WAL_23.png?rlkey=k963qda8ob2nm8mu1cw2rvlq7&st=xu2roqvk&dl=1,"Stromverteilungkasten in Wand. Schallschutz 3D, Brandschutz 2D."
WALL,WAL_24,Schacht ,1000,3000,675,FALSE,FALSE,3D Mod,FALSE,TRUE,TRUE,TRUE,TRUE,GK V,SHAFT,IN UNIT,RENDER/TILES,0,Draft Placeholder,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,2 versions: Germany and Switzerland?
WALL,WAL_25,Innenwand,1000,3000,90,FALSE,FALSE,3D Mod,FALSE,FALSE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER,0,Draft Placeholder,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
WALL,WAL_26,Betonwand halbfertige Elemente,1000,3000,250,TRUE,TRUE,In Situ,FALSE,FALSE,FALSE,FALSE,TRUE,GK V,ESCAPE,DISTRIBUTION,UNTREATED,0,Developed,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
WALL,WAL_27,Aussteifende Innenwand mit Installationsebene,1000,3000,115,FALSE,TRUE,3D Mod,FALSE,FALSE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER/TILES,0,Draft Placeholder,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
WALL,WAL_28,Wohnungstrennwand Massiv,1000,3000,270,FALSE,FALSE,2D Panels,FALSE,FALSE,FALSE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,RENDER,0,Developed,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,Kein Rücksprung
WALL,WAL_29,Innenwand,1000,3000,90,FALSE,FALSE,2D Panels,FALSE,FALSE,FALSE,FALSE,FALSE,GK V,FALSE,IN UNIT,RENDER,0,Draft Placeholder,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
WALL,WAL_30,Aussteifende Innenwand am Fertigbad,1000,3000,97.5,FALSE,TRUE,3D Mod,FALSE,FALSE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER,0,,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
WALL,WAL_31,Gipskarton am Fertigbad,1000,3000,12.5,FALSE,FALSE,3D Mod,FALSE,FALSE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER,0,,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
WALL,WAL_32,Innenwand mit Heizung- und ElektroVerteiler,1000,3000,175,FALSE,FALSE,3D Mod,FALSE,FALSE,TRUE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER,0,,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
WALL,WAL_33,Wand Fertigbad,1000,3000,27,FALSE,FALSE,3D Mod,FALSE,TRUE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER,0,,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
WALL,WAL_34,Aussteifende Innenwand mit Fliesen,1000,3000,70,FALSE,TRUE,3D Mod,FALSE,TRUE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,TILES,0,,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
SLAB,SLA_21,Boden 3D Modul Regelgeschoss,1000,1000,255,TRUE,TRUE,3D Mod,FALSE,FALSE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,0,Developed,https://www.dropbox.com/scl/fi/sss7gij7i7g4hwu1d7pva/SLA_21.png?rlkey=bv1c43it2cdvo922rg5v6oa28&st=gink49jx&dl=1,
SLAB,SLA_22,Decke 3D Modul Regelgeschoss,1000,1000,60,FALSE,TRUE,3D Mod,FALSE,FALSE,TRUE,FALSE,FALSE,GK V,FALSE,UNIT PARTITION,TIMBER,0,Developed,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,"Ventilation, heating, electricity planned on top of the CLT slab"
SLAB,SLA_23,Boden 2D-Bereich Regelgeschoss 120BSP,1000,1000,295,TRUE,TRUE,2D Panels,FALSE,FALSE,TRUE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TIMBER,0,Developed,https://www.dropbox.com/scl/fi/qda6ba9gt87agrg8rpkoe/SLA_23.png?rlkey=k7wxvrtrxof0tvylz7cs65sj7&dl=1,electric and heating installation not integrated in the slab
SLAB,SLA_24,Boden 2D-Bereich Regelgeschoss 220BSP,1000,1000,375,TRUE,TRUE,2D Panels,FALSE,FALSE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,0,,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
SLAB,SLA_25,Boden 2D-Bereich Regelgeschoss 240BSP,1000,1000,415,TRUE,TRUE,2D Panels,FALSE,FALSE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,0,,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
SLAB,SLA_26,Boden 3D Modul Erdgeschoss,1000,1000,236.5,TRUE,TRUE,3D Mod,FALSE,TRUE,TRUE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,0,,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
SLAB,SLA_27,Boden 2D-Bereich Erdgeschoss,1000,1000,236.5,TRUE,TRUE,2D Panels,FALSE,FALSE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,0,,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
SLAB,SLA_28,Boden 3D Modul Staffegelschoss Innenbereich,1000,1000,420,TRUE,TRUE,3D Mod,FALSE,FALSE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,0,,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=9ujnjlvj&dl=1,
